entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
20 25 0 1 2005 2006 6898185.000000 6898185.000000 6898185.000000
25 30 0 1 2005 2006 5451389.000000 5451389.000000 5451389.000000
30 35 0 1 2005 2006 4500306.000000 4500306.000000 4500306.000000
35 40 0 1 2005 2006 3591363.000000 3591363.000000 3591363.000000
40 45 0 1 2005 2006 2818432.000000 2818432.000000 2818432.000000
45 50 0 1 2005 2006 2429173.000000 2429173.000000 2429173.000000
50 55 0 1 2005 2006 1990259.000000 1990259.000000 1990259.000000
55 60 0 1 2005 2006 1719483.000000 1719483.000000 1719483.000000
60 65 0 1 2005 2006 1344796.000000 1344796.000000 1344796.000000
65 70 0 1 2005 2006 976324.000000 976324.000000 976324.000000
70 120 0 1 2005 2006 1401279.000000 1401279.000000 1401279.000000
0 5 0 1 2006 2007 13563090.000000 13563090.000000 13563090.000000
5 10 0 1 2006 2007 12348573.000000 12348573.000000 12348573.000000
10 15 0 1 2006 2007 10318938.000000 10318938.000000 10318938.000000
15 20 0 1 2006 2007 8419569.000000 8419569.000000 8419569.000000
20 25 0 1 2006 2007 7102610.000000 7102610.000000 7102610.000000
25 30 0 1 2006 2007 5657553.000000 5657553.000000 5657553.000000
30 35 0 1 2006 2007 4641013.000000 4641013.000000 4641013.000000
35 40 0 1 2006 2007 3737642.000000 3737642.000000 3737642.000000
40 45 0 1 2006 2007 2918987.000000 2918987.000000 2918987.000000
45 50 0 1 2006 2007 2481880.000000 2481880.000000 2481880.000000
50 55 0 1 2006 2007 2043941.000000 2043941.000000 2043941.000000
55 60 0 1 2006 2007 1751631.000000 1751631.000000 1751631.000000
60 65 0 1 2006 2007 1392013.000000 1392013.000000 1392013.000000
65 70 0 1 2006 2007 1006151.000000 1006151.000000 1006151.000000
70 120 0 1 2006 2007 1467098.000000 1467098.000000 1467098.000000
0 5 0 1 2007 2008 13634029.000000 13634029.000000 13634029.000000
5 10 0 1 2007 2008 12626374.000000 12626374.000000 12626374.000000
10 15 0 1 2007 2008 10736785.000000 10736785.000000 10736785.000000
15 20 0 1 2007 2008 8702040.000000 8702040.000000 8702040.000000
20 25 0 1 2007 2008 7275794.000000 7275794.000000 7275794.000000
25 30 0 1 2007 2008 5897316.000000 5897316.000000 5897316.000000
30 35 0 1 2007 2008 4769320.000000 4769320.000000 4769320.000000
35 40 0 1 2007 2008 3889300.000000 3889300.000000 3889300.000000
40 45 0 1 2007 2008 3038678.000000 3038678.000000 3038678.000000
45 50 0 1 2007 2008 2527007.000000 2527007.000000 2527007.000000
50 55 0 1 2007 2008 2111516.000000 2111516.000000 2111516.000000
55 60 0 1 2007 2008 1777560.000000 1777560.000000 1777560.000000
60 65 0 1 2007 2008 1442940.000000 1442940.000000 1442940.000000
65 70 0 1 2007 2008 1044362.000000 1044362.000000 1044362.000000
70 120 0 1 2007 2008 1527388.000000 1527388.000000 1527388.000000
0 5 0 1 2008 2009 13712038.000000 13712038.000000 13712038.000000
5 10 0 1 2008 2009 12841565.000000 12841565.000000 12841565.000000
10 15 0 1 2008 2009 11157983.000000 11157983.000000 11157983.000000
15 20 0 1 2008 2009 9041461.000000 9041461.000000 9041461.000000
20 25 0 1 2008 2009 7430790.000000 7430790.000000 7430790.000000
25 30 0 1 2008 2009 6157658.000000 6157658.000000 6157658.000000
30 35 0 1 2008 2009 4895181.000000 4895181.000000 4895181.000000
35 40 0 1 2008 2009 4044150.000000 4044150.000000 4044150.000000
40 45 0 1 2008 2009 3171949.000000 3171949.000000 3171949.000000
45 50 0 1 2008 2009 2573629.000000 2573629.000000 2573629.000000
50 55 0 1 2008 2009 2186317.000000 2186317.000000 2186317.000000
55 60 0 1 2008 2009 1802858.000000 1802858.000000 1802858.000000
60 65 0 1 2008 2009 1495284.000000 1495284.000000 1495284.000000
65 70 0 1 2008 2009 1088699.000000 1088699.000000 1088699.000000
70 120 0 1 2008 2009 1585330.000000 1585330.000000 1585330.000000
0 5 0 1 2009 2010 13808564.000000 13808564.000000 13808564.000000
5 10 0 1 2009 2010 13006148.000000 13006148.000000 13006148.000000
10 15 0 1 2009 2010 11556602.000000 11556602.000000 11556602.000000
15 20 0 1 2009 2010 9430273.000000 9430273.000000 9430273.000000
20 25 0 1 2009 2010 7602811.000000 7602811.000000 7602811.000000
25 30 0 1 2009 2010 6410311.000000 6410311.000000 6410311.000000
30 35 0 1 2009 2010 5038184.000000 5038184.000000 5038184.000000
35 40 0 1 2009 2010 4196503.000000 4196503.000000 4196503.000000
40 45 0 1 2009 2010 3311435.000000 3311435.000000 3311435.000000
45 50 0 1 2009 2010 2634682.000000 2634682.000000 2634682.000000
50 55 0 1 2009 2010 2258165.000000 2258165.000000 2258165.000000
55 60 0 1 2009 2010 1836193.000000 1836193.000000 1836193.000000
60 65 0 1 2009 2010 1545146.000000 1545146.000000 1545146.000000
65 70 0 1 2009 2010 1136635.000000 1136635.000000 1136635.000000
70 120 0 1 2009 2010 1644601.000000 1644601.000000 1644601.000000
0 5 0 1 2010 2011 13934223.000000 13934223.000000 13934223.000000
5 10 0 1 2010 2011 13142618.000000 13142618.000000 13142618.000000
10 15 0 1 2010 2011 11908816.000000 11908816.000000 11908816.000000
15 20 0 1 2010 2011 9848412.000000 9848412.000000 9848412.000000
20 25 0 1 2010 2011 7824924.000000 7824924.000000 7824924.000000
25 30 0 1 2010 2011 6633179.000000 6633179.000000 6633179.000000
30 35 0 1 2010 2011 5211819.000000 5211819.000000 5211819.000000
35 40 0 1 2010 2011 4340958.000000 4340958.000000 4340958.000000
40 45 0 1 2010 2011 3453099.000000 3453099.000000 3453099.000000
