entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
ni- 	 12 	 55 	 60 	 0 	 1 	 0.004529918628 	 0.004529918628 	 0.004529918628 
ni- 	 12 	 60 	 65 	 0 	 1 	 0.004695658485 	 0.004695658485 	 0.004695658485 
ni- 	 12 	 65 	 70 	 0 	 1 	 0.004622696499 	 0.004622696499 	 0.004622696499 
ni- 	 12 	 70 	 75 	 0 	 1 	 0.004322801944 	 0.004322801944 	 0.004322801944 
ni- 	 12 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 0 	 5 	 0 	 1 	 0.000041933765 	 0.000041933765 	 0.000041933765 
defn 	 13 	 5 	 10 	 0 	 1 	 0.000086216766 	 0.000086216766 	 0.000086216766 
defn 	 13 	 10 	 15 	 0 	 1 	 0.000234194775 	 0.000234194775 	 0.000234194775 
defn 	 13 	 15 	 20 	 0 	 1 	 0.000332108478 	 0.000332108478 	 0.000332108478 
defn 	 13 	 20 	 25 	 0 	 1 	 0.000471470522 	 0.000471470522 	 0.000471470522 
defn 	 13 	 25 	 30 	 0 	 1 	 0.000627113858 	 0.000627113858 	 0.000627113858 
defn 	 13 	 30 	 35 	 0 	 1 	 0.000771843414 	 0.000771843414 	 0.000771843414 
defn 	 13 	 35 	 40 	 0 	 1 	 0.000892935456 	 0.000892935456 	 0.000892935456 
defn 	 13 	 40 	 45 	 0 	 1 	 0.000995976545 	 0.000995976545 	 0.000995976545 
defn 	 13 	 45 	 50 	 0 	 1 	 0.001082300054 	 0.001082300054 	 0.001082300054 
defn 	 13 	 50 	 55 	 0 	 1 	 0.001165818847 	 0.001165818847 	 0.001165818847 
defn 	 13 	 55 	 60 	 0 	 1 	 0.001257574024 	 0.001257574024 	 0.001257574024 
defn 	 13 	 60 	 65 	 0 	 1 	 0.001349954879 	 0.001349954879 	 0.001349954879 
defn 	 13 	 65 	 70 	 0 	 1 	 0.001409657944 	 0.001409657944 	 0.001409657944 
defn 	 13 	 70 	 75 	 0 	 1 	 0.001473062895 	 0.001473062895 	 0.001473062895 
defn 	 13 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 0 	 5 	 0 	 1 	 0.000071638806 	 0.000071638806 	 0.000071638806 
nn 	 14 	 5 	 10 	 0 	 1 	 0.000131676950 	 0.000131676950 	 0.000131676950 
nn 	 14 	 10 	 15 	 0 	 1 	 0.000361284758 	 0.000361284758 	 0.000361284758 
nn 	 14 	 15 	 20 	 0 	 1 	 0.000461267313 	 0.000461267313 	 0.000461267313 
nn 	 14 	 20 	 25 	 0 	 1 	 0.000636095104 	 0.000636095104 	 0.000636095104 
nn 	 14 	 25 	 30 	 0 	 1 	 0.000814304189 	 0.000814304189 	 0.000814304189 
nn 	 14 	 30 	 35 	 0 	 1 	 0.000953785161 	 0.000953785161 	 0.000953785161 
nn 	 14 	 35 	 40 	 0 	 1 	 0.001044757174 	 0.001044757174 	 0.001044757174 
nn 	 14 	 40 	 45 	 0 	 1 	 0.001103584899 	 0.001103584899 	 0.001103584899 
nn 	 14 	 45 	 50 	 0 	 1 	 0.001143479742 	 0.001143479742 	 0.001143479742 
nn 	 14 	 50 	 55 	 0 	 1 	 0.001176715285 	 0.001176715285 	 0.001176715285 
nn 	 14 	 55 	 60 	 0 	 1 	 0.001204105987 	 0.001204105987 	 0.001204105987 
nn 	 14 	 60 	 65 	 0 	 1 	 0.001240583845 	 0.001240583845 	 0.001240583845 
nn 	 14 	 65 	 70 	 0 	 1 	 0.001218212417 	 0.001218212417 	 0.001218212417 
nn 	 14 	 70 	 75 	 0 	 1 	 0.001136180031 	 0.001136180031 	 0.001136180031 
nn 	 14 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
si+ 	 15 	 0 	 5 	 0 	 1 	 0.000236734290 	 0.000236734290 	 0.000236734290 
si+ 	 15 	 5 	 10 	 0 	 1 	 0.000482799315 	 0.000482799315 	 0.000482799315 
si+ 	 15 	 10 	 15 	 0 	 1 	 0.001314563443 	 0.001314563443 	 0.001314563443 
si+ 	 15 	 15 	 20 	 0 	 1 	 0.005320551911 	 0.005320551911 	 0.005320551911 
si+ 	 15 	 20 	 25 	 0 	 1 	 0.013696996721 	 0.013696996721 	 0.013696996721 
si+ 	 15 	 25 	 30 	 0 	 1 	 0.023312090783 	 0.023312090783 	 0.023312090783 
si+ 	 15 	 30 	 35 	 0 	 1 	 0.032264511588 	 0.032264511588 	 0.032264511588 
si+ 	 15 	 35 	 40 	 0 	 1 	 0.039773357660 	 0.039773357660 	 0.039773357660 
si+ 	 15 	 40 	 45 	 0 	 1 	 0.046222954610 	 0.046222954610 	 0.046222954610 
si+ 	 15 	 45 	 50 	 0 	 1 	 0.051691791991 	 0.051691791991 	 0.051691791991 
si+ 	 15 	 50 	 55 	 0 	 1 	 0.057043746957 	 0.057043746957 	 0.057043746957 
si+ 	 15 	 55 	 60 	 0 	 1 	 0.062976326577 	 0.062976326577 	 0.062976326577 
si+ 	 15 	 60 	 65 	 0 	 1 	 0.069044834810 	 0.069044834810 	 0.069044834810 
si+ 	 15 	 65 	 70 	 0 	 1 	 0.072856093871 	 0.072856093871 	 0.072856093871 
si+ 	 15 	 70 	 75 	 0 	 1 	 0.077191134417 	 0.077191134417 	 0.077191134417 
si+ 	 15 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
si- 	 16 	 0 	 5 	 0 	 1 	 0.001357551467 	 0.001357551467 	 0.001357551467 
si- 	 16 	 5 	 10 	 0 	 1 	 0.002796950126 	 0.002796950126 	 0.002796950126 
si- 	 16 	 10 	 15 	 0 	 1 	 0.007602328345 	 0.007602328345 	 0.007602328345 
si- 	 16 	 15 	 20 	 0 	 1 	 0.011853981216 	 0.011853981216 	 0.011853981216 
si- 	 16 	 20 	 25 	 0 	 1 	 0.018739554321 	 0.018739554321 	 0.018739554321 
si- 	 16 	 25 	 30 	 0 	 1 	 0.026575465674 	 0.026575465674 	 0.026575465674 
si- 	 16 	 30 	 35 	 0 	 1 	 0.033931352134 	 0.033931352134 	 0.033931352134 
si- 	 16 	 35 	 40 	 0 	 1 	 0.040149679441 	 0.040149679441 	 0.040149679441 
si- 	 16 	 40 	 45 	 0 	 1 	 0.045502014240 	 0.045502014240 	 0.045502014240 
si- 	 16 	 45 	 50 	 0 	 1 	 0.050030367314 	 0.050030367314 	 0.050030367314 
si- 	 16 	 50 	 55 	 0 	 1 	 0.054448467243 	 0.054448467243 	 0.054448467243 
