entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
50 55 0 1 2028 2029 17800186.000000 17800186.000000 17826102.000000
55 60 0 1 2028 2029 15853039.000000 15817040.000000 15853039.000000
60 65 0 1 2028 2029 13018360.000000 13018360.000000 13048524.000000
65 70 0 1 2028 2029 9839867.000000 9839867.000000 9874887.000000
70 120 0 1 2028 2029 12684484.000000 12684484.000000 12691515.000000
0 5 0 1 2029 2030 22721916.000000 17589434.000000 27831464.000000
5 10 0 1 2029 2030 23130778.000000 19293694.000000 27003334.000000
10 15 0 1 2029 2030 23813696.000000 21731750.000000 25819752.000000
15 20 0 1 2029 2030 24170960.000000 24079474.000000 24170960.000000
20 25 0 1 2029 2030 23123996.000000 23123996.000000 23178624.000000
25 30 0 1 2029 2030 22841866.000000 22756626.000000 22841866.000000
30 35 0 1 2029 2030 21546550.000000 21546550.000000 21600406.000000
35 40 0 1 2029 2030 20947634.000000 20947634.000000 20951172.000000
40 45 0 1 2029 2030 20378100.000000 20378100.000000 20379296.000000
45 50 0 1 2029 2030 19850880.000000 19765456.000000 19850880.000000
50 55 0 1 2029 2030 17997190.000000 17997190.000000 18027266.000000
55 60 0 1 2029 2030 16154165.000000 16125368.000000 16154165.000000
60 65 0 1 2029 2030 13408554.000000 13408554.000000 13420460.000000
65 70 0 1 2029 2030 10163214.000000 10163214.000000 10197694.000000
70 120 0 1 2029 2030 13310594.000000 13309839.000000 13310594.000000
0 5 0 1 2030 2031 22610430.000000 17257304.000000 27963556.000000
5 10 0 1 2030 2031 23013664.000000 18835282.000000 27192048.000000
10 15 0 1 2030 2031 23621916.000000 21066912.000000 26176916.000000
15 20 0 1 2030 2031 24244608.000000 24244608.000000 24244608.000000
20 25 0 1 2030 2031 23164162.000000 23164162.000000 23164162.000000
25 30 0 1 2030 2031 22962146.000000 22962146.000000 22962146.000000
30 35 0 1 2030 2031 21680036.000000 21680036.000000 21680036.000000
35 40 0 1 2030 2031 21019632.000000 21019632.000000 21019632.000000
40 45 0 1 2030 2031 20368146.000000 20368146.000000 20368146.000000
45 50 0 1 2030 2031 20007308.000000 20007308.000000 20007308.000000
