entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
15 20 0 1 1993 1994 2932254.000000 2932254.000000 2932254.000000
20 25 0 1 1993 1994 2362224.000000 2362224.000000 2362224.000000
25 30 0 1 1993 1994 1874718.000000 1874718.000000 1874718.000000
30 35 0 1 1993 1994 1502903.000000 1502903.000000 1502903.000000
35 40 0 1 1993 1994 1200914.000000 1200914.000000 1200914.000000
40 45 0 1 1993 1994 926735.000000 926735.000000 926735.000000
45 50 0 1 1993 1994 649635.000000 649635.000000 649635.000000
50 55 0 1 1993 1994 489833.000000 489833.000000 489833.000000
55 60 0 1 1993 1994 453611.000000 453611.000000 453611.000000
60 65 0 1 1993 1994 381917.000000 381917.000000 381917.000000
65 70 0 1 1993 1994 278504.000000 278504.000000 278504.000000
70 120 0 1 1993 1994 413414.000000 413414.000000 413414.000000
0 5 0 1 1994 1995 4598796.000000 4598796.000000 4598796.000000
5 10 0 1 1994 1995 4246023.000000 4246023.000000 4246023.000000
10 15 0 1 1994 1995 3682263.000000 3682263.000000 3682263.000000
15 20 0 1 1994 1995 3048267.000000 3048267.000000 3048267.000000
20 25 0 1 1994 1995 2471219.000000 2471219.000000 2471219.000000
25 30 0 1 1994 1995 1956441.000000 1956441.000000 1956441.000000
30 35 0 1 1994 1995 1565877.000000 1565877.000000 1565877.000000
35 40 0 1 1994 1995 1247225.000000 1247225.000000 1247225.000000
40 45 0 1 1994 1995 976351.000000 976351.000000 976351.000000
45 50 0 1 1994 1995 695805.000000 695805.000000 695805.000000
50 55 0 1 1994 1995 498473.000000 498473.000000 498473.000000
55 60 0 1 1994 1995 455568.000000 455568.000000 455568.000000
60 65 0 1 1994 1995 393533.000000 393533.000000 393533.000000
65 70 0 1 1994 1995 289100.000000 289100.000000 289100.000000
70 120 0 1 1994 1995 423545.000000 423545.000000 423545.000000
0 5 0 1 1995 1996 4664670.000000 4664670.000000 4664670.000000
5 10 0 1 1995 1996 4309758.000000 4309758.000000 4309758.000000
10 15 0 1 1995 1996 3791679.000000 3791679.000000 3791679.000000
15 20 0 1 1995 1996 3162888.000000 3162888.000000 3162888.000000
20 25 0 1 1995 1996 2577967.000000 2577967.000000 2577967.000000
25 30 0 1 1995 1996 2042279.000000 2042279.000000 2042279.000000
30 35 0 1 1995 1996 1629755.000000 1629755.000000 1629755.000000
35 40 0 1 1995 1996 1295292.000000 1295292.000000 1295292.000000
40 45 0 1 1995 1996 1022775.000000 1022775.000000 1022775.000000
45 50 0 1 1995 1996 741631.000000 741631.000000 741631.000000
50 55 0 1 1995 1996 515558.000000 515558.000000 515558.000000
